epoch,accuracy,loss,train_acc,train_loss,val_accuracy,val_loss
0,0.1760166734457016,4.9119696617126465,0.2804666757583618,1.9093115329742432,0.2775000035762787,1.9112707376480103
1,0.2314833402633667,2.044642686843872,0.295116662979126,1.8246245384216309,0.3109999895095825,1.7737078666687012
2,0.2773999869823456,1.9083514213562012,0.3554833233356476,1.661543846130371,0.3855000138282776,1.5774298906326294
3,0.30943334102630615,1.802335262298584,0.4128499925136566,1.5133819580078125,0.453000009059906,1.4130406379699707
4,0.3572833240032196,1.692105770111084,0.572350025177002,1.2275053262710571,0.6159999966621399,1.1179940700531006
5,0.39221665263175964,1.593902826309204,0.5846166610717773,1.193777084350586,0.6330000162124634,1.1106243133544922
6,0.40711668133735657,1.547674536705017,0.6245499849319458,1.0972802639007568,0.6669999957084656,1.0194262266159058
7,0.4150499999523163,1.5095999240875244,0.6004499793052673,1.0635987520217896,0.6384999752044678,0.9935324192047119
8,0.4176666736602783,1.4826925992965698,0.6059166789054871,1.056745171546936,0.6424999833106995,0.9953963756561279
9,0.4308166801929474,1.4619487524032593,0.6685500144958496,0.9703628420829773,0.6974999904632568,0.8971589803695679
