epoch,accuracy,loss,train_acc,train_loss,val_accuracy,val_loss
0,0.51746666431427,4.079198837280273,0.7984499931335449,0.792671799659729,0.828000009059906,0.7103384137153625
1,0.6778333187103271,1.1107172966003418,0.8468666672706604,0.5901867151260376,0.8669999837875366,0.5305720567703247
2,0.7432500123977661,0.8959052562713623,0.8937833309173584,0.47774189710617065,0.9315000176429749,0.3308861255645752
3,0.7806666493415833,0.7737833261489868,0.914733350276947,0.36189281940460205,0.9350000023841858,0.3200633227825165
4,0.8056333065032959,0.6874972581863403,0.9126833081245422,0.3183572590351105,0.9304999709129333,0.2553117275238037
5,0.8183666467666626,0.6416676044464111,0.9288166761398315,0.30092883110046387,0.9424999952316284,0.28248676657676697
6,0.8307166695594788,0.6043910384178162,0.9217833280563354,0.4104350805282593,0.9290000200271606,0.490838885307312
7,0.8359500169754028,0.5952656269073486,0.9305333495140076,0.2707534730434418,0.9424999952316284,0.24134290218353271
8,0.8439499735832214,0.5645763278007507,0.9331333041191101,0.25812116265296936,0.9459999799728394,0.26821890473365784
9,0.8480166792869568,0.5539746880531311,0.9398999810218811,0.23311695456504822,0.9480000138282776,0.23586130142211914
